created_at,entry_id,field1,field2,field3,field4,field5,field6,field7,field8
2018-08-31 18:33:33 +0200,1,404,24.73,,,,274.66,,
2018-08-31 18:33:40 +0200,2,1,25.18,74.15,980.19,1260,,,125.66
2018-08-31 18:33:52 +0200,3,1,25.15,74.18,980.17,1260,,,127.30
2018-08-31 18:34:04 +0200,4,1,25.19,74.28,980.19,1260,,,124.91
2018-08-31 18:34:08 +0200,5,404,24.72,,,,272.83,,
2018-08-31 18:34:16 +0200,6,1,25.18,74.36,980.17,1261,,,124.81
2018-08-31 18:34:30 +0200,7,1,25.15,74.39,980.17,1263,,,126.71
2018-08-31 18:34:42 +0200,8,1,25.18,74.46,980.17,1264,,,125.47
2018-08-31 18:34:50 +0200,9,404,24.63,,,,269.62,,
2018-08-31 18:34:54 +0200,10,1,25.16,74.57,980.19,1266,,,125.76
2018-08-31 18:35:06 +0200,11,1,25.15,74.64,980.19,1267,,,125.19
2018-08-31 18:35:18 +0200,12,1,25.16,74.72,980.19,1267,,,125.95
2018-08-31 18:35:25 +0200,13,404,24.61,,,,269.62,,
2018-08-31 18:35:30 +0200,14,1,25.16,74.77,980.21,1270,,,127.10
2018-08-31 18:35:43 +0200,15,1,25.16,74.85,980.21,1271,,,126.62
2018-08-31 18:35:55 +0200,16,1,25.16,74.93,980.19,1272,,,126.04
2018-08-31 18:36:00 +0200,17,404,24.61,,,,265.50,,
2018-08-31 18:36:07 +0200,18,1,25.15,74.93,980.21,1273,,,125.95
2018-08-31 18:36:19 +0200,19,1,25.15,74.99,980.21,1275,,,126.33
2018-08-31 18:36:31 +0200,20,1,25.14,75.10,980.21,1277,,,127.20
2018-08-31 18:36:35 +0200,21,404,24.57,,,,263.67,,
2018-08-31 18:36:43 +0200,22,1,25.14,75.06,980.23,1279,,,126.52
2018-08-31 18:36:56 +0200,23,1,25.15,75.11,980.21,1279,,,128.48
2018-08-31 18:37:08 +0200,24,1,25.14,75.16,980.21,1281,,,126.43
2018-08-31 18:37:10 +0200,25,404,24.55,,,,260.92,,
2018-08-31 18:37:20 +0200,26,1,25.12,75.24,980.21,1282,,,126.91
2018-08-31 18:37:32 +0200,27,1,25.14,75.33,980.21,1282,,,126.43
2018-08-31 18:37:44 +0200,28,1,25.12,75.33,980.21,1284,,,128.78
2018-08-31 18:37:45 +0200,29,404,24.54,,,,259.09,,
2018-08-31 18:37:56 +0200,30,1,25.14,75.41,980.23,1286,,,127.01
2018-08-31 18:38:09 +0200,31,1,25.11,75.50,980.25,1288,,,127.88
2018-08-31 18:38:21 +0200,32,404,24.52,,,,254.51,,
2018-08-31 18:38:21 +0200,33,1,25.12,75.58,980.23,1288,,,127.20
2018-08-31 18:38:33 +0200,34,1,25.12,75.63,980.23,1289,,,127.79
2018-08-31 18:38:45 +0200,35,1,25.14,75.67,980.23,1290,,,127.40
2018-08-31 18:38:56 +0200,36,404,24.50,,,,255.89,,
2018-08-31 18:38:57 +0200,37,1,25.12,75.67,980.25,1292,,,127.79
2018-08-31 18:39:11 +0200,38,1,25.12,75.75,980.23,1292,,,127.20
2018-08-31 18:39:23 +0200,39,1,25.12,75.84,980.23,1292,,,128.28
2018-08-31 18:39:31 +0200,40,404,24.49,,,,254.97,,
2018-08-31 18:39:35 +0200,41,1,25.11,75.86,980.25,1293,,,127.40
2018-08-31 18:39:47 +0200,42,1,25.09,75.94,980.25,1295,,,127.49
2018-08-31 18:39:59 +0200,43,1,25.12,75.96,980.23,1296,,,130.70
2018-08-31 18:40:06 +0200,44,404,24.47,,,,254.06,,
2018-08-31 18:40:12 +0200,45,1,25.12,75.98,980.23,1298,,,128.68
2018-08-31 18:40:24 +0200,46,1,25.09,76.01,980.25,1300,,,127.88
2018-08-31 18:40:36 +0200,47,1,25.09,76.06,980.25,1301,,,128.18
2018-08-31 18:40:41 +0200,48,404,24.46,,,,253.14,,
2018-08-31 18:40:48 +0200,49,1,25.09,76.06,980.25,1302,,,128.58
2018-08-31 18:41:00 +0200,50,1,25.11,76.16,980.25,1301,,,129.48
2018-08-31 18:41:12 +0200,51,1,25.08,76.21,980.25,1302,,,129.08
2018-08-31 18:41:16 +0200,52,404,24.44,,,,252.68,,
2018-08-31 18:41:24 +0200,53,1,25.08,76.28,980.25,1304,,,129.58
2018-08-31 18:41:37 +0200,54,1,25.08,76.32,980.25,1304,,,129.28
2018-08-31 18:41:49 +0200,55,1,25.09,76.33,980.25,1305,,,129.38
2018-08-31 18:41:51 +0200,56,404,24.42,,,,251.31,,
2018-08-31 18:42:01 +0200,57,1,25.08,76.39,980.25,1306,,,129.68
2018-08-31 18:42:13 +0200,58,1,25.08,76.45,980.27,1306,,,128.98
2018-08-31 18:42:25 +0200,59,1,25.09,76.51,980.27,1307,,,129.38
2018-08-31 18:42:26 +0200,60,404,24.39,,,,250.39,,
2018-08-31 18:42:37 +0200,61,1,25.09,76.54,980.25,1308,,,129.78
2018-08-31 18:42:50 +0200,62,1,25.08,76.59,980.25,1309,,,130.80
2018-08-31 18:43:01 +0200,63,404,24.38,,,,249.94,,
2018-08-31 18:43:02 +0200,64,1,25.06,76.60,980.25,1311,,,130.19
2018-08-31 18:43:14 +0200,65,1,25.09,76.65,980.25,1311,,,130.19
2018-08-31 18:43:26 +0200,66,1,25.08,76.69,980.25,1312,,,129.88
2018-08-31 18:43:36 +0200,67,404,24.35,,,,248.56,,
2018-08-31 18:43:38 +0200,68,1,25.06,76.76,980.27,1313,,,130.19
2018-08-31 18:43:52 +0200,69,1,25.08,76.83,980.27,1314,,,130.39
2018-08-31 18:44:04 +0200,70,1,25.08,76.86,980.27,1315,,,131.42
2018-08-31 18:44:12 +0200,71,404,24.33,,,,247.65,,
2018-08-31 18:44:16 +0200,72,1,25.09,76.84,980.27,1314,,,130.49
2018-08-31 18:44:28 +0200,73,1,25.06,76.93,980.27,1315,,,129.98
2018-08-31 18:44:40 +0200,74,1,25.05,76.92,980.27,1317,,,130.29
2018-08-31 18:44:47 +0200,75,404,24.30,,,,244.90,,
2018-08-31 18:44:52 +0200,76,1,25.08,76.97,980.27,1317,,,130.49
2018-08-31 18:45:05 +0200,77,1,25.06,77.01,980.27,1319,,,130.80
2018-08-31 18:45:17 +0200,78,1,25.06,77.07,980.25,1320,,,131.01
2018-08-31 18:45:22 +0200,79,404,24.29,,,,243.53,,
2018-08-31 18:45:29 +0200,80,1,25.05,77.07,980.25,1321,,,131.22
2018-08-31 18:45:41 +0200,81,1,25.05,77.10,980.25,1322,,,130.91
2018-08-31 18:45:53 +0200,82,1,25.05,77.16,980.25,1322,,,131.42
2018-08-31 18:45:57 +0200,83,404,24.26,,,,240.78,,
2018-08-31 18:46:06 +0200,84,1,25.05,77.18,980.25,1323,,,131.84
2018-08-31 18:46:18 +0200,85,1,25.04,77.18,980.27,1325,,,131.84
2018-08-31 18:46:30 +0200,86,1,25.05,77.25,980.27,1326,,,131.84
2018-08-31 18:46:33 +0200,87,404,24.24,,,,239.41,,
2018-08-31 18:46:42 +0200,88,1,25.05,77.30,980.27,1327,,,132.26
2018-08-31 18:46:54 +0200,89,1,25.06,77.31,980.27,1329,,,132.05
2018-08-31 18:47:06 +0200,90,1,25.05,77.39,980.27,1329,,,132.37
2018-08-31 18:47:08 +0200,91,404,24.22,,,,238.49,,
2018-08-31 18:47:19 +0200,92,1,25.05,77.40,980.27,1331,,,132.68
2018-08-31 18:47:31 +0200,93,1,25.06,77.42,980.27,1331,,,132.58
2018-08-31 18:47:43 +0200,94,404,24.21,,,,237.12,,
2018-08-31 18:47:43 +0200,95,1,25.05,77.42,980.27,1331,,,132.37
2018-08-31 18:47:55 +0200,96,1,25.04,77.50,980.27,1332,,,132.15
2018-08-31 18:48:07 +0200,97,1,25.05,77.48,980.28,1333,,,132.79
2018-08-31 18:48:18 +0200,98,404,24.18,,,,233.00,,
2018-08-31 18:48:19 +0200,99,1,25.04,77.54,980.28,1333,,,134.51
2018-08-31 18:48:32 +0200,100,1,25.01,77.55,980.27,1334,,,133.96
2018-08-31 18:48:44 +0200,101,1,25.02,77.59,980.27,1335,,,132.26
2018-08-31 18:48:53 +0200,102,404,24.16,,,,235.29,,
2018-08-31 18:48:56 +0200,103,1,25.05,77.62,980.28,1335,,,133.75
2018-08-31 18:49:08 +0200,104,1,25.05,77.65,980.28,1336,,,132.89
2018-08-31 18:49:20 +0200,105,1,25.04,77.67,980.23,1337,,,133.32
2018-08-31 18:49:28 +0200,106,404,24.15,,,,234.37,,
2018-08-31 18:49:32 +0200,107,1,25.01,77.73,980.25,1337,,,133.75
2018-08-31 18:49:45 +0200,108,1,25.02,77.76,980.25,1339,,,133.75
2018-08-31 18:49:57 +0200,109,1,25.04,77.79,980.25,1340,,,133.86
2018-08-31 18:50:03 +0200,110,404,24.13,,,,234.37,,
2018-08-31 18:50:09 +0200,111,1,25.05,77.80,980.23,1341,,,134.07
2018-08-31 18:50:21 +0200,112,1,25.02,77.84,980.23,1341,,,133.86
2018-08-31 18:50:33 +0200,113,1,25.02,77.87,980.23,1343,,,133.43
2018-08-31 18:50:38 +0200,114,404,24.11,,,,233.92,,
2018-08-31 18:50:45 +0200,115,1,25.01,77.93,980.25,1342,,,133.64
2018-08-31 18:50:58 +0200,116,1,25.01,77.98,980.25,1346,,,133.96
2018-08-31 18:51:10 +0200,117,1,25.01,77.94,980.23,1349,,,133.96
2018-08-31 18:51:13 +0200,118,404,24.09,,,,233.00,,
2018-08-31 18:51:22 +0200,119,1,25.01,78.02,980.23,1348,,,134.29
2018-08-31 18:51:34 +0200,120,1,24.99,77.99,980.23,1349,,,135.05
2018-08-31 18:51:46 +0200,121,1,24.99,78.06,980.25,1350,,,134.51
2018-08-31 18:51:48 +0200,122,404,24.09,,,,232.54,,
2018-08-31 18:51:58 +0200,123,1,24.99,78.09,980.25,1351,,,134.94
2018-08-31 18:52:11 +0200,124,1,25.02,78.13,980.25,1353,,,135.16
2018-08-31 18:52:23 +0200,125,1,24.99,78.16,980.27,1353,,,134.83
2018-08-31 18:52:23 +0200,126,404,24.06,,,,231.63,,
2018-08-31 18:52:35 +0200,127,1,25.01,78.16,980.23,1355,,,134.51
2018-08-31 18:52:47 +0200,128,1,24.99,78.18,980.25,1356,,,135.27
2018-08-31 18:52:58 +0200,129,404,24.05,,,,230.71,,
2018-08-31 18:52:59 +0200,130,1,24.97,78.20,980.25,1357,,,134.72
2018-08-31 18:53:11 +0200,131,1,25.01,78.25,980.27,1358,,,135.49
2018-08-31 18:53:24 +0200,132,1,24.99,78.26,980.27,1359,,,134.51
2018-08-31 18:53:34 +0200,133,404,24.04,,,,226.59,,
2018-08-31 18:53:36 +0200,134,1,24.99,78.29,980.27,1359,,,135.71
2018-08-31 18:53:48 +0200,135,1,25.02,78.34,980.27,1361,,,135.82
2018-08-31 18:54:00 +0200,136,1,24.98,78.35,980.28,1360,,,135.16
2018-08-31 18:54:09 +0200,137,404,24.01,,,,227.51,,
2018-08-31 18:54:12 +0200,138,1,24.98,78.39,980.25,1362,,,135.71
2018-08-31 18:54:24 +0200,139,1,24.98,78.40,980.25,1364,,,135.82
2018-08-31 18:54:37 +0200,140,1,24.98,78.45,980.25,1364,,,135.94
2018-08-31 18:54:44 +0200,141,404,23.99,,,,226.59,,
2018-08-31 18:54:49 +0200,142,1,24.99,78.47,980.25,1363,,,136.05
2018-08-31 18:55:01 +0200,143,1,24.97,78.50,980.27,1366,,,136.05
2018-08-31 18:55:13 +0200,144,1,24.95,78.51,980.27,1366,,,136.49
2018-08-31 18:55:19 +0200,145,404,23.96,,,,226.13,,
2018-08-31 18:55:25 +0200,146,1,24.97,78.57,980.27,1368,,,136.38
2018-08-31 18:55:37 +0200,147,1,24.99,78.64,980.25,1369,,,136.83
2018-08-31 18:55:50 +0200,148,1,24.94,78.62,980.25,1371,,,136.61
2018-08-31 18:55:54 +0200,149,404,23.94,,,,226.13,,
2018-08-31 18:56:02 +0200,150,1,24.97,78.67,980.27,1373,,,136.38
2018-08-31 18:56:14 +0200,151,1,24.98,78.66,980.28,1374,,,136.49
2018-08-31 18:56:26 +0200,152,1,24.97,78.68,980.27,1374,,,136.83
2018-08-31 18:56:29 +0200,153,404,23.93,,,,225.68,,
2018-08-31 18:56:38 +0200,154,1,24.94,78.69,980.28,1376,,,136.72
2018-08-31 18:56:50 +0200,155,1,24.97,78.72,980.28,1378,,,137.06
2018-08-31 18:57:03 +0200,156,1,24.95,78.76,980.28,1379,,,136.61
2018-08-31 18:57:04 +0200,157,404,23.92,,,,225.22,,
2018-08-31 18:57:15 +0200,158,1,24.97,78.79,980.28,1380,,,137.06
2018-08-31 18:57:27 +0200,159,1,24.97,78.79,980.28,1380,,,137.51
2018-08-31 18:57:39 +0200,160,1,24.97,78.84,980.28,1381,,,137.40
2018-08-31 18:57:39 +0200,161,404,23.91,,,,223.84,,
2018-08-31 18:57:52 +0200,162,1,24.97,78.85,980.28,1382,,,137.51
2018-08-31 18:58:04 +0200,163,1,24.95,78.91,980.27,1383,,,136.49
2018-08-31 18:58:15 +0200,164,404,23.89,,,,223.84,,
2018-08-31 18:58:17 +0200,165,1,24.94,78.93,980.27,1384,,,137.06
2018-08-31 18:58:29 +0200,166,1,24.94,78.92,980.30,1385,,,137.40
2018-08-31 18:58:41 +0200,167,1,24.95,78.94,980.30,1385,,,137.51
2018-08-31 18:58:50 +0200,168,404,23.88,,,,221.10,,
2018-08-31 18:58:53 +0200,169,1,24.94,78.97,980.28,1386,,,137.51
2018-08-31 18:59:05 +0200,170,1,24.94,78.98,980.30,1388,,,137.74
2018-08-31 18:59:17 +0200,171,1,24.94,78.99,980.28,1390,,,137.97
2018-08-31 18:59:25 +0200,172,404,23.87,,,,222.47,,
2018-08-31 18:59:30 +0200,173,1,24.94,79.06,980.28,1392,,,138.31
2018-08-31 18:59:42 +0200,174,1,24.94,79.03,980.30,1393,,,138.20
2018-08-31 18:59:54 +0200,175,1,24.94,79.07,980.30,1394,,,138.43
2018-08-31 19:00:00 +0200,176,404,23.86,,,,222.01,,
2018-08-31 19:00:06 +0200,177,1,24.95,79.12,980.30,1394,,,138.20
2018-08-31 19:00:18 +0200,178,1,24.92,79.10,980.30,1396,,,138.66
2018-08-31 19:00:30 +0200,179,1,24.89,79.11,980.30,1397,,,138.66
2018-08-31 19:00:35 +0200,180,404,23.85,,,,221.10,,
2018-08-31 19:00:43 +0200,181,1,24.94,79.15,980.30,1398,,,138.66
2018-08-31 19:00:55 +0200,182,1,24.95,79.16,980.30,1398,,,138.66
2018-08-31 19:01:07 +0200,183,1,24.91,79.18,980.28,1399,,,139.12
2018-08-31 19:01:10 +0200,184,404,23.84,,,,220.18,,
2018-08-31 19:01:19 +0200,185,1,24.92,79.21,980.30,1400,,,138.54
2018-08-31 19:01:31 +0200,186,1,24.91,79.27,980.30,1401,,,138.66
2018-08-31 19:01:43 +0200,187,1,24.92,79.25,980.30,1401,,,139.12
2018-08-31 19:01:45 +0200,188,404,23.83,,,,219.72,,
2018-08-31 19:01:56 +0200,189,1,24.91,79.29,980.30,1402,,,139.59
2018-08-31 19:02:08 +0200,190,1,24.91,79.33,980.30,1404,,,139.12
2018-08-31 19:02:20 +0200,191,404,23.82,,,,218.81,,
2018-08-31 19:02:20 +0200,192,1,24.89,79.31,980.30,1406,,,139.24
2018-08-31 19:02:32 +0200,193,1,24.91,79.37,980.30,1407,,,139.59
2018-08-31 19:02:44 +0200,194,1,24.91,79.35,980.30,1407,,,139.35
2018-08-31 19:02:55 +0200,195,404,23.80,,,,217.89,,
2018-08-31 19:02:56 +0200,196,1,24.91,79.39,980.30,1408,,,139.47
2018-08-31 19:03:09 +0200,197,1,24.91,79.41,980.28,1411,,,139.59
2018-08-31 19:03:21 +0200,198,1,24.91,79.45,980.28,1411,,,139.24
2018-08-31 19:03:30 +0200,199,404,23.79,,,,217.44,,
2018-08-31 19:03:33 +0200,200,1,24.91,79.46,980.30,1413,,,139.47
2018-08-31 19:03:45 +0200,201,1,24.89,79.44,980.30,1414,,,140.06
2018-08-31 19:03:57 +0200,202,1,24.89,79.52,980.30,1414,,,139.35
2018-08-31 19:04:05 +0200,203,404,23.78,,,,216.06,,
2018-08-31 19:04:09 +0200,204,1,24.91,79.53,980.30,1416,,,140.29
2018-08-31 19:04:22 +0200,205,1,24.89,79.50,980.32,1417,,,140.29
2018-08-31 19:04:34 +0200,206,1,24.88,79.54,980.32,1416,,,140.29
2018-08-31 19:04:40 +0200,207,404,23.78,,,,214.69,,
2018-08-31 19:04:46 +0200,208,1,24.88,79.52,980.32,1419,,,140.06
2018-08-31 19:04:58 +0200,209,1,24.89,79.59,980.32,1419,,,140.77
2018-08-31 19:05:10 +0200,210,1,24.89,79.59,980.32,1420,,,140.18
2018-08-31 19:05:15 +0200,211,404,23.77,,,,213.32,,
2018-08-31 19:05:22 +0200,212,1,24.88,79.65,980.32,1422,,,140.53
2018-08-31 19:05:35 +0200,213,1,24.88,79.63,980.32,1422,,,140.65
2018-08-31 19:05:47 +0200,214,1,24.87,79.68,980.32,1422,,,140.65
2018-08-31 19:05:50 +0200,215,404,23.76,,,,212.40,,
2018-08-31 19:05:59 +0200,216,1,24.88,79.66,980.32,1421,,,140.65
2018-08-31 19:06:11 +0200,217,1,24.89,79.70,980.32,1422,,,141.37
2018-08-31 19:06:23 +0200,218,1,24.88,79.72,980.32,1423,,,141.25
2018-08-31 19:06:25 +0200,219,404,23.75,,,,210.57,,
2018-08-31 19:06:35 +0200,220,1,24.87,79.73,980.32,1422,,,141.13
2018-08-31 19:06:48 +0200,221,1,24.85,79.73,980.34,1423,,,141.01
2018-08-31 19:07:00 +0200,222,1,24.88,79.75,980.34,1423,,,141.13
