created_at,entry_id,field1,field2,field3,field4,field5,field6,field7,field8
2018-08-30 16:39:43 +0200,1,0.00,0,51.03,,980.34,0,28.13,
2018-08-30 16:39:50 +0200,2,1.70,0,49.26,,980.38,0,28.41,
2018-08-30 16:39:57 +0200,3,2.70,0,47.75,,980.38,0,28.45,
2018-08-30 16:40:04 +0200,4,3.70,0,45.99,,980.36,3,28.40,
2018-08-30 16:40:11 +0200,5,4.63,0,45.58,,980.36,0,28.31,
2018-08-30 16:40:18 +0200,6,5.44,0,46.85,,980.38,3,28.29,
2018-08-30 16:40:25 +0200,7,6.43,0,46.80,,980.38,0,28.22,
2018-08-30 16:40:33 +0200,8,7.65,0,45.76,,980.34,3,28.18,
2018-08-30 16:40:40 +0200,9,8.68,0,46.97,,980.34,0,28.24,
2018-08-30 16:40:47 +0200,10,9.93,0,47.93,,980.36,3,28.26,
2018-08-30 16:40:54 +0200,11,11.21,0,47.31,,980.34,0,28.31,
2018-08-30 16:41:01 +0200,12,12.58,0,48.10,,980.34,3,28.39,
2018-08-30 16:41:08 +0200,13,13.76,0,49.31,,980.34,0,28.52,
2018-08-30 16:41:15 +0200,14,15.47,0,46.76,,980.34,3,28.46,
2018-08-30 16:41:25 +0200,15,17.19,0,45.13,,980.32,3,28.35,
2018-08-30 16:41:32 +0200,16,17.82,0,46.65,,980.32,3,28.37,
2018-08-30 16:41:40 +0200,17,19.55,0,47.61,,980.32,0,28.41,
2018-08-30 16:41:47 +0200,18,20.97,0,47.47,,980.32,0,28.47,
2018-08-30 16:41:54 +0200,19,22.46,0,48.18,,980.32,3,28.52,
2018-08-30 16:42:01 +0200,20,24.30,0,47.06,,980.28,3,28.56,
2018-08-30 16:42:08 +0200,21,26.41,0,45.14,,980.30,0,28.47,
2018-08-30 16:42:16 +0200,22,28.51,0,44.09,,980.30,3,28.41,
2018-08-30 16:42:23 +0200,23,30.43,0,43.88,,980.30,0,28.29,
2018-08-30 16:42:30 +0200,24,32.31,0,43.84,,980.30,3,28.22,
2018-08-30 16:42:37 +0200,25,34.03,0,43.63,,980.28,0,28.09,
2018-08-30 16:42:44 +0200,26,36.00,0,43.61,,980.30,0,28.04,
2018-08-30 16:42:51 +0200,27,37.14,0,44.04,,980.30,0,28.09,
2018-08-30 16:42:58 +0200,28,37.64,0,46.63,,980.26,3,28.18,
2018-08-30 16:46:41 +0200,29,0.00,0,54.44,,980.26,0,27.52,
2018-08-30 16:46:47 +0200,30,17.71,364,46.83,,980.30,0,27.66,
2018-08-30 16:46:56 +0200,31,24.38,1152,46.39,,980.34,0,27.59,
2018-08-30 16:47:02 +0200,32,27.30,1343,45.51,,980.32,0,27.45,
2018-08-30 16:47:09 +0200,33,30.71,1371,45.51,,980.36,0,27.49,
2018-08-30 16:47:15 +0200,34,33.25,1341,45.28,,980.34,0,27.45,
2018-08-30 16:47:21 +0200,35,34.84,1234,45.18,,980.30,0,27.42,
2018-08-30 16:47:28 +0200,36,36.47,1209,45.84,,980.28,0,27.44,
2018-08-30 16:47:34 +0200,37,38.36,1205,45.66,,980.28,0,27.44,
2018-08-30 16:47:41 +0200,38,39.07,1186,45.61,,980.26,3,27.37,
2018-08-30 16:47:47 +0200,39,40.30,1195,45.61,,980.28,0,27.33,
2018-08-30 16:47:54 +0200,40,41.90,1195,45.61,,980.26,0,27.31,
2018-08-30 16:48:00 +0200,41,43.09,1205,46.23,,980.30,0,27.37,
2018-08-30 16:48:06 +0200,42,43.67,1196,45.71,,980.38,0,27.37,
2018-08-30 16:48:13 +0200,43,44.83,1196,45.71,,980.34,2,27.37,
2018-08-30 16:49:24 +0200,44,0.00,0,51.50,,980.18,0,25.63,
2018-08-30 16:49:30 +0200,45,29.76,251,52.12,,980.24,0,25.50,
2018-08-30 16:49:36 +0200,46,36.50,1201,52.58,,980.22,3,25.47,
2018-08-30 16:49:43 +0200,47,39.99,1281,52.65,,980.24,0,25.50,
2018-08-30 16:49:49 +0200,48,42.40,1288,52.62,,980.26,0,25.51,
2018-08-30 16:49:56 +0200,49,44.08,1295,52.59,,980.26,0,25.51,
2018-08-30 16:50:03 +0200,50,44.83,1295,52.56,,980.22,0,25.53,
2018-08-30 16:50:09 +0200,51,46.36,1300,52.60,,980.26,0,25.53,
2018-08-30 16:50:16 +0200,52,47.69,1308,52.57,,980.24,0,25.53,
2018-08-30 16:50:22 +0200,53,49.08,1315,52.57,,980.22,3,25.50,
2018-08-30 16:50:28 +0200,54,49.92,1321,52.61,,980.24,0,25.53,
2018-08-30 16:50:35 +0200,55,50.88,1327,52.57,,980.20,0,25.50,
2018-08-30 16:50:41 +0200,56,51.51,1332,52.61,,980.22,3,25.47,
2018-08-30 16:50:47 +0200,57,52.47,1334,52.61,,980.24,3,25.47,
2018-08-30 16:50:54 +0200,58,53.03,1336,52.64,,980.22,0,25.47,
2018-08-30 16:51:00 +0200,59,54.01,1337,52.71,,980.22,0,25.49,
2018-08-30 16:51:07 +0200,60,54.50,1339,52.67,,980.22,0,25.47,
2018-08-30 16:51:13 +0200,61,55.32,1340,52.71,,980.24,0,25.49,
2018-08-30 16:51:19 +0200,62,55.80,1342,52.72,,980.24,0,25.49,
2018-08-30 16:51:26 +0200,63,56.51,1343,52.71,,980.24,3,25.41,
2018-08-30 16:51:32 +0200,64,56.96,1343,52.68,,980.18,0,25.47,
2018-08-30 16:51:39 +0200,65,57.74,1345,52.66,,980.20,0,25.47,
2018-08-30 16:51:45 +0200,66,58.38,1347,52.68,,980.20,0,25.44,
2018-08-30 16:51:53 +0200,67,59.24,1347,52.66,,980.22,0,25.47,
2018-08-30 16:51:59 +0200,68,58.22,1348,52.64,,980.18,0,25.46,
2018-08-30 16:52:05 +0200,69,59.66,1348,52.68,,980.18,3,25.47,
2018-08-30 16:52:12 +0200,70,60.30,1349,52.72,,980.20,0,25.47,
2018-08-30 16:52:18 +0200,71,61.00,1350,52.72,,980.20,3,25.46,
2018-08-30 16:52:24 +0200,72,61.62,1350,52.74,,980.18,0,25.46,
2018-08-30 16:52:31 +0200,73,61.99,1350,52.75,,980.20,0,25.44,
2018-08-30 16:52:37 +0200,74,63.24,1350,52.74,,980.20,0,25.46,
2018-08-30 16:52:44 +0200,75,63.48,1352,52.59,,980.20,0,25.43,
2018-08-30 16:52:50 +0200,76,64.55,1352,52.48,,980.22,3,25.43,
2018-08-30 16:52:56 +0200,77,65.19,1352,52.52,,980.24,0,25.40,
2018-08-30 16:53:03 +0200,78,65.30,1351,52.54,,980.20,0,25.43,
2018-08-30 16:53:09 +0200,79,66.32,1350,52.57,,980.20,0,25.44,
2018-08-30 16:53:15 +0200,80,66.79,1347,52.60,,980.20,0,25.44,
2018-08-30 16:53:22 +0200,81,67.38,1347,52.73,,980.20,0,25.44,
2018-08-30 16:53:29 +0200,82,68.20,1346,52.66,,980.20,0,25.41,
2018-08-30 16:53:36 +0200,83,67.27,1346,52.45,,980.20,0,25.43,
2018-08-30 16:53:42 +0200,84,67.87,1346,52.82,,980.20,0,25.41,
